adm2,order
016095,1
016096,2
016097,3
016098,4
016099,5
016090,6
016091,7
016092,8
016093,9
016094,10
022001,11
022002,12
022003,13
022004,14
022005,15
022006,16
022018,17
022010,18
022011,19
022012,20
022013,21
022014,22
022015,23
022016,24
022017,25
022007,26
022008,27
022009,28
024001,29
024002,30
024003,31
024004,32
024005,33
024006,34
024007,35
024008,36
024023,37
024024,38
024025,39
024026,40
024027,41
024028,42
024029,43
024020,44
024021,45
024022,46
024012,47
024013,48
024014,49
024015,50
024016,51
024017,52
024018,53
024019,54
024011,55
006005,56
020520,57
006006,58
020521,59
006007,60
006008,61
006009,62
024009,63
020519,64
006001,65
006002,66
006003,67
024045,68
006004,69
024046,70
024047,71
024048,72
024049,73
020511,74
020512,75
020513,76
020514,77
020515,78
020516,79
020517,80
024040,81
020518,82
024041,83
024042,84
024043,85
024044,86
020510,87
020508,88
020509,89
024034,90
024035,91
024036,92
024038,93
020500,94
024039,95
020501,96
020502,97
020503,98
020504,99
020505,100
020506,101
020507,102
024030,103
024031,104
024032,105
024033,106
020540,107
020541,108
020542,109
020543,110
020533,111
020534,112
020535,113
020536,114
020537,115
020538,116
020539,117
020530,118
020531,119
020532,120
006010,121
024056,122
020522,123
020523,124
020524,125
020525,126
020526,127
020527,128
024050,129
020528,130
024051,131
020529,132
024052,133
024053,134
024054,135
020560,136
024055,137
020561,138
020562,139
020563,140
020564,141
020565,142
020555,143
011043,144
020556,145
011044,146
020557,147
014101,148
011045,149
020558,150
014102,151
011046,152
020559,153
014103,154
014104,155
014105,156
014106,157
014107,158
014108,159
020550,160
020551,161
020552,162
011040,163
020553,164
011041,165
020554,166
011042,167
014100,168
020544,169
020545,170
020546,171
020100,172
020547,173
020101,174
020548,175
020102,176
020549,177
020103,178
028005,179
028006,180
028007,181
028008,182
028009,183
014123,184
014124,185
028001,186
020570,187
028002,188
028003,189
028004,190
014120,191
014121,192
014122,193
020566,194
020120,195
020567,196
020121,197
020568,198
014112,199
020122,200
020569,201
014113,202
020123,203
014114,204
020124,205
014115,206
020125,207
014116,208
014117,209
014118,210
014119,211
014110,212
014111,213
020115,214
020116,215
020117,216
020118,217
014109,218
020119,219
028027,220
028028,221
028029,222
020110,223
020111,224
020112,225
020113,226
028020,227
020114,228
028021,229
028022,230
028023,231
028024,232
028025,233
028026,234
020104,235
020105,236
020106,237
001008,238
020107,239
001009,240
020108,241
020109,242
028016,243
028017,244
028018,245
020140,246
028019,247
020141,248
020142,249
020143,250
020144,251
001002,252
020145,253
001003,254
020146,255
001004,256
020147,257
001005,258
028010,259
001006,260
028011,261
001007,262
028012,263
028013,264
028014,265
028015,266
015014,267
015015,268
015016,269
015017,270
015018,271
015019,272
020137,273
020138,274
020139,275
015010,276
015011,277
015012,278
015013,279
020130,280
020131,281
020132,282
020133,283
020134,284
028041,285
020135,286
028042,287
020136,288
028043,289
021010,290
021011,291
021012,292
015003,293
021013,294
021014,295
015004,296
015005,297
021015,298
015006,299
