Age,2000 U.S. Standard Population (Census P25-1130),,2011 Canadian Standard Population Std Million,,2021 Canadian Standard Population Std Million,,World (WHO 2000-2025) Std Million1,
,Single Ages to 89,Single Ages to 84,Single Ages to 89,Single Ages to 84,Single Ages to 99,Single Ages to 84,Single Ages to 99,Single Ages to 84
00 years,"3,794,901","3,794,901","376,321","376,321","362,725","362,725","17,917","17,917"
01 years,"3,758,562","3,758,562","379,990","379,990","371,898","371,898","17,802","17,802"
02 years,"3,773,025","3,773,025","383,179","383,179","380,119","380,119","17,701","17,701"
03 years,"3,791,001","3,791,001","383,741","383,741","388,730","388,730","17,613","17,613"
04 years,"3,869,031","3,869,031","375,833","375,833","399,411","399,411","17,536","17,536"
05 years,"3,896,081","3,896,081","366,757","366,757","408,927","408,927","17,470","17,470"
06 years,"3,917,855","3,917,855","361,038","361,038","412,709","412,709","17,414","17,414"
07 years,"3,978,143","3,978,143","363,440","363,440","413,664","413,664","17,366","17,366"
08 years,"3,903,983","3,903,983","358,621","358,621","418,353","418,353","17,327","17,327"
09 years,"4,223,778","4,223,778","360,577","360,577","418,912","418,912","17,293","17,293"
10 years,"4,230,322","4,230,322","365,198","365,198","419,169","419,169","17,263","17,263"
11 years,"4,027,959","4,027,959","376,458","376,458","425,425","425,425","17,233","17,233"
12 years,"3,941,299","3,941,299","379,838","379,838","427,633","427,633","17,199","17,199"
13 years,"3,923,270","3,923,270","391,245","391,245","426,053","426,053","17,160","17,160"
14 years,"3,933,929","3,933,929","405,425","405,425","415,736","415,736","17,115","17,115"
15 years,"3,952,423","3,952,423","426,802","426,802","407,916","407,916","17,069","17,069"
16 years,"3,853,629","3,853,629","440,145","440,145","406,378","406,378","17,018","17,018"
17 years,"4,012,263","4,012,263","446,524","446,524","411,161","411,161","16,952","16,952"
18 years,"3,936,904","3,936,904","455,872","455,872","410,427","410,427","16,866","16,866"
19 years,"4,064,299","4,064,299","469,609","469,609","424,093","424,093","16,765","16,765"
20 years,"4,037,599","4,037,599","479,650","479,650","451,551","451,551","16,656","16,656"
21 years,"3,764,802","3,764,802","484,077","484,077","473,803","473,803","16,546","16,546"
22 years,"3,555,718","3,555,718","470,052","470,052","477,234","477,234","16,434","16,434"
23 years,"3,489,233","3,489,233","458,775","458,775","492,807","492,807","16,323","16,323"
24 years,"3,409,873","3,409,873","461,800","461,800","509,003","509,003","16,212","16,212"
25 years,"3,421,099","3,421,099","471,522","471,522","527,025","527,025","16,094","16,094"
26 years,"3,328,203","3,328,203","475,052","475,052","533,494","533,494","15,971","15,971"
27 years,"3,434,987","3,434,987","474,287","474,287","531,547","531,547","15,851","15,851"
28 years,"3,450,602","3,450,602","475,287","475,287","538,232","538,232","15,735","15,735"
29 years,"4,087,176","4,087,176","473,693","473,693","544,357","544,357","15,621","15,621"
30 years,"3,999,004","3,999,004","479,377","479,377","556,442","556,442","15,504","15,504"
31 years,"3,810,183","3,810,183","472,955","472,955","556,989","556,989","15,376","15,376"
32 years,"3,774,385","3,774,385","462,922","462,922","539,307","539,307","15,233","15,233"
33 years,"3,840,938","3,840,938","455,951","455,951","525,539","525,539","15,070","15,070"
34 years,"4,086,860","4,086,860","456,750","456,750","525,727","525,727","14,890","14,890"
35 years,"4,288,078","4,288,078","457,914","457,914","532,781","532,781","14,702","14,702"
36 years,"4,349,620","4,349,620","458,413","458,413","534,333","534,333","14,510","14,510"
37 years,"4,469,476","4,469,476","448,563","448,563","529,223","529,223","14,307","14,307"
38 years,"4,290,207","4,290,207","450,150","450,150","526,036","526,036","14,091","14,091"
